golden_id,tweet_id,conversation_id,created_at,text,previous_context,suggested_intent,difficulty,human_intent,human_escalate,human_resolution_note,annotator_notes,raw_text,raw_previous_context,label_audit_status
GS-001,548113,548114,Sat Dec 02 11:32:13 +0000 2017,@AppleSupport It’s also draining my battery and after it does this it asks for my pin for entry but I can bypass by hitting home button.,customer: Hey @AppleSupport my phone keeps going black every 3 min with a loading wheel in the middle then asking for a passcode after 30 seconds just installed the new update. ?? It won’t stop! Please help,BATTERY_POWER,representative,DEVICE_PERFORMANCE,False,No confirmed resolution in the available thread; the issue appears unresolved or still under troubleshooting.,Label based on the primary support problem expressed in the message and available conversation context.,@AppleSupport Itâs also draining my battery and after it does this it asks for my pin for entry but I can bypass by hitting home button.,customer: Hey @AppleSupport my phone keeps going black every 3 min with a loading wheel in the middle then asking for a passcode after 30 seconds just installed the new update. ?? It wonât stop! Please help,updated_in_consistency_audit
GS-002,42634,42636,Wed Nov 01 15:55:09 +0000 2017,@AppleSupport I have restored the iPhone but the problem continues,customer: Ey @AppleSupport since I updating my iPhone 8 to iOS 11.1 does not stop restarting!! 😡😞😭 #iOS11 #bug || support: @125423 Let's get this sorted out together. Do you notice this happening when performing any specific steps or opening an app?,DATA_BACKUP_RESTORE,representative,DEVICE_PERFORMANCE,True,No confirmed resolution in the available thread; the issue appears unresolved or still under troubleshooting.,Recovery/data state can be sensitive or irreversible; verify before automating.,@AppleSupport I have restored the iPhone but the problem continues,customer: Ey @AppleSupport since I updating my iPhone 8 to iOS 11.1 does not stop restarting!! ð¡ðð­ #iOS11 #bug || support: @125423 Let's get this sorted out together. Do you notice this happening when performing any specific steps or opening an app?,updated_in_consistency_audit
GS-003,935941,935942,Sat Oct 21 19:01:54 +0000 2017,@AppleSupport it keeps making me enter my apple id and doesnt load after. I’ve entered it at least 32 times,"customer: got the new ios, now I can’t use apple music..what the fuck @115948 @AppleSupport I dont pay you fuckers for this type of inconvenience || support: @341887 Let's look into this together. Can you tell us what happens when you try using the music app?",APPLE_ID_ICLOUD,representative,APPLE_ID_ICLOUD,True,No confirmed resolution in the available thread; the issue appears unresolved or still under troubleshooting.,Account/authentication issue; account-specific handling makes automation risky.,@AppleSupport it keeps making me enter my apple id and doesnt load after. Iâve entered it at least 32 times,"customer: got the new ios, now I canât use apple music..what the fuck @115948 @AppleSupport I dont pay you fuckers for this type of inconvenience || support: @341887 Let's look into this together. Can you tell us what happens when you try using the music app?",unchanged
GS-004,565906,565908,Sun Dec 03 00:56:09 +0000 2017,@AppleSupport completed and restored from backup,"customer: @AppleSupport Hi, my iphone 8 plus got a black screen w/ spinning wheel in last 3 days. Restore it already and still happen. Still can use for incoming call, but the screen on and off w/ spinning wheel. The phone is getting hot. Please help. || support: @252644 Thanks for reaching out. Was the iPhone's restore completed and the device set up as new, or was it restored from a backup?",DATA_BACKUP_RESTORE,representative,DATA_BACKUP_RESTORE,True,No confirmed resolution in the available thread; the issue appears unresolved or still under troubleshooting.,Recovery/data state can be sensitive or irreversible; verify before automating.,@AppleSupport completed and restored from backup,"customer: @AppleSupport Hi, my iphone 8 plus got a black screen w/ spinning wheel in last 3 days. Restore it already and still happen. Still can use for incoming call, but the screen on and off w/ spinning wheel. The phone is getting hot. Please help. || support: @252644 Thanks for reaching out. Was the iPhone's restore completed and the device set up as new, or was it restored from a backup?",unchanged
GS-005,101255,101256,Thu Nov 30 17:34:45 +0000 2017,"@AppleSupport I forget account and pasword icloud,",customer: @AppleSupport please helpmeni can't sign in icloud account || support: @138161 Having access to your account is important and we're happy to help determine the best options to gain access to your account. Are you receiving an error message when you attempt to log in? DM us and we'll work with you there. https://t.co/GDrqU22Y,APPLE_ID_ICLOUD,representative,APPLE_ID_ICLOUD,True,No confirmed resolution in the available thread; the issue appears unresolved or still under troubleshooting.,Account/authentication issue; account-specific handling makes automation risky.,"@AppleSupport I forget account and pasword icloud,",customer: @AppleSupport please helpmeni can't sign in icloud account || support: @138161 Having access to your account is important and we're happy to help determine the best options to gain access to your account. Are you receiving an error message when you attempt to log in? DM us and we'll work with you there. https://t.co/GDrqU22Y,unchanged
GS-006,431283,431283,Tue Oct 10 12:44:08 +0000 2017,@AppleSupport hurry up and fix the problem with my battery running out so quickly. I have a 7 and I cant even last an entire day on 1 charge,,BATTERY_POWER,hard,BATTERY_POWER,False,No explicit resolution outcome is established in the available thread.,Label based on the primary support problem expressed in the message and available conversation context.,@AppleSupport hurry up and fix the problem with my battery running out so quickly. I have a 7 and I cant even last an entire day on 1 charge,,unchanged
GS-007,584729,584729,Sun Dec 03 09:14:33 +0000 2017,My charger just broke I’m sueing for inconvenience @115858 https://t.co/PdbaiPLV5v,,BATTERY_POWER,edge,BATTERY_POWER,True,No explicit resolution outcome is established in the available thread.,Potential hardware/accessory issue; avoid assuming a software-only resolution.,My charger just broke Iâm sueing for inconvenience @115858 https://t.co/PdbaiPLV5v,,unchanged
GS-008,415065,415066,Tue Oct 10 01:41:24 +0000 2017,@AppleSupport iTunes/Music opens fine but do not play any song. All others apps are working perfectly (audio and video).,customer: @AppleSupport Are you guys aware of TVos 11 issue preventing iTunes from playing music and video? @318 & @116602 fine though! || support: @162981 Great question. Let us know more about what you are seeing there. We'd love to help or get you to the right place.,MEDIA_SERVICES,representative,MEDIA_SERVICES,False,No explicit resolution outcome is established in the available thread.,Label based on the primary support problem expressed in the message and available conversation context.,@AppleSupport iTunes/Music opens fine but do not play any song. All others apps are working perfectly (audio and video).,customer: @AppleSupport Are you guys aware of TVos 11 issue preventing iTunes from playing music and video? @318 &amp; @116602 fine though! || support: @162981 Great question. Let us know more about what you are seeing there. We'd love to help or get you to the right place.,unchanged
GS-009,1027011,1027012,Mon Oct 23 02:33:03 +0000 2017,@AppleSupport I do. How can I restore them onto my phone?,customer: @AppleSupport I updated my iPhone 7 to iOS 11.0.3 & now all of my photos are gone. Kinda major bug considering most of them were of my kid. || support: @363018 We want you to be able to keep those precious moments. Do you use iCloud for your photos?,DATA_BACKUP_RESTORE,representative,DATA_BACKUP_RESTORE,True,No explicit resolution outcome is established in the available thread.,Recovery/data state can be sensitive or irreversible; verify before automating.,@AppleSupport I do. How can I restore them onto my phone?,customer: @AppleSupport I updated my iPhone 7 to iOS 11.0.3 &amp; now all of my photos are gone. Kinda major bug considering most of them were of my kid. || support: @363018 We want you to be able to keep those precious moments. Do you use iCloud for your photos?,unchanged
GS-010,41568,41569,Wed Nov 01 16:04:35 +0000 2017,"@AppleSupport Keep seeing the letter I as ?, apps keep crashing, and it’s slower",customer: Since I updated my phone my phone has been tripping @115858 || support: @125140 We want your iPhone to work as you expect it to. Could you share a few details with us about what you're experiencing?,DEVICE_PERFORMANCE,representative,DEVICE_PERFORMANCE,False,No explicit resolution outcome is established in the available thread.,Label based on the primary support problem expressed in the message and available conversation context.,"@AppleSupport Keep seeing the letter I as ?, apps keep crashing, and itâs slower",customer: Since I updated my phone my phone has been tripping @115858 || support: @125140 We want your iPhone to work as you expect it to. Could you share a few details with us about what you're experiencing?,unchanged
